timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2021-06-09 06:28:44.825154,51,47,0,28,20,4.308036931668087,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:45.678141,51,47,0,24,24,4.284760637399596,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:45.680806,51,47,0,28,20,4.308036931668087,3,3,34,16.333333333333332,0,0,49,1,0:00:00.855652,1,0
2021-06-09 06:28:45.833285,51,47,0,29,19,4.321565479430691,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:45.836784,51,47,0,24,24,4.284760637399596,3,3,34,16.333333333333332,0,0,49,1,0:00:00.158643,1,0
2021-06-09 06:28:45.886226,51,47,0,29,19,4.321565479430691,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052941,1,0
2021-06-09 06:28:46.743469,51,47,0,21,27,4.237944645970096,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:46.796110,51,47,0,21,27,4.237944645970096,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052641,1,0
2021-06-09 06:28:46.898145,51,47,0,23,25,4.287539254067758,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:46.950115,51,47,0,23,25,4.287539254067758,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051970,1,0
2021-06-09 06:28:47.753503,51,47,0,27,21,4.294372892216715,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:47.903973,51,47,0,27,21,4.390384597162591,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:47.906823,51,47,0,27,21,4.294372892216715,3,3,34,16.333333333333332,0,0,49,1,0:00:00.153320,1,0
2021-06-09 06:28:48.764185,51,47,0,27,21,4.342063157031021,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:48.767094,51,47,0,27,21,4.390384597162591,3,3,34,16.333333333333332,0,0,49,1,0:00:00.863121,1,0
2021-06-09 06:28:48.815450,51,47,0,27,21,4.342063157031021,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051265,1,0
2021-06-09 06:28:48.967923,51,47,0,29,19,4.167934048771486,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:49.020110,51,47,0,29,19,4.167934048771486,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052187,1,0
2021-06-09 06:28:49.825907,51,47,0,27,21,4.240355490213509,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:49.878935,51,47,0,27,21,4.240355490213509,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053028,1,0
2021-06-09 06:28:49.960080,29,25,0,26,0,3.6899015819921512,3,3,18,9.0,0,0,27,1,0,0,0
2021-06-09 06:28:49.962129,29,25,0,26,0,3.6899015819921512,3,3,18,9.0,0,0,27,1,0:00:00.002049,1,0
2021-06-09 06:28:49.964399,29,25,0,26,0,3.6899015819921512,3,3,18,9.0,0,0,27,1,0:00:00.002270,2,0
2021-06-09 06:28:49.965751,29,25,0,26,0,3.6899015819921512,3,3,18,9.0,0,0,27,1,0:00:00.001352,3,0
2021-06-09 06:28:49.966673,40,25,0,35,0,3.925070520364181,5,5,18,7.2,0,0,36,1,0,0,0
2021-06-09 06:28:49.968217,40,25,0,35,0,3.925070520364181,5,5,18,7.2,0,0,36,1,0:00:00.001544,1,0
2021-06-09 06:28:49.968440,40,25,0,35,0,3.925070520364181,5,5,18,7.2,0,0,36,1,0:00:00.000223,2,0
2021-06-09 06:28:49.970639,40,25,0,35,0,3.925070520364181,5,5,18,7.2,0,0,36,1,0:00:00.002199,3,0
2021-06-09 06:28:49.980761,51,47,0,26,22,4.388426450689849,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:50.641012,29,25,0,26,0,3.6899015819921512,3,3,18,9.0,0,0,27,1,0:00:00.675261,4,0
