timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2020-11-22 03:26:05.823044,31,17,0,27,0,3.824533406881911,4,4,12,7.0,0,0,28,1,0,0,0
2020-11-22 03:26:05.869574,31,17,0,27,0,3.824533406881911,4,4,12,7.0,0,0,28,1,0:00:00.046530,1,0
2020-11-22 03:32:38.198108,29,10,0,23,2,3.8404025467025056,4,5,9,5.0,0,0,25,1,0,0,0
2020-11-22 03:32:38.223519,29,10,0,23,2,3.8404025467025056,4,5,9,5.0,0,0,25,1,0:00:00.025411,1,0
2020-11-22 03:42:14.556585,34,20,0,30,0,3.7892579739733505,4,4,12,7.75,0,0,31,1,0,0,0
2020-11-22 03:42:14.592595,34,20,0,30,0,3.7892579739733505,4,4,12,7.75,0,0,31,1,0:00:00.036010,1,0
2020-11-22 03:47:09.354690,31,17,0,27,0,3.824533406881911,4,4,12,7.0,0,0,28,1,0:21:03.485116,2,0
2020-11-22 03:47:09.401140,31,17,0,27,0,3.824533406881911,4,4,12,7.0,0,0,28,1,0:00:00.046450,3,0
2020-11-22 03:47:10.476860,29,10,0,23,2,3.8404025467025056,4,5,9,5.0,0,0,25,1,0:14:32.253341,2,0
2020-11-22 03:47:10.501931,29,10,0,23,2,3.8404025467025056,4,5,9,5.0,0,0,25,1,0:00:00.025071,3,0
2020-11-22 03:48:10.812599,23,19,0,21,0,3.7950885863977324,2,3,13,7.0,0,0,21,1,0,0,0
2020-11-22 03:48:10.837751,23,19,0,21,0,3.7950885863977324,2,3,13,7.0,0,0,21,1,0:00:00.025152,1,0
2020-11-22 03:53:33.963540,26,22,0,24,0,3.6573852766501784,2,3,12,8.0,0,0,24,1,0,0,0
2020-11-22 03:53:34.033923,26,22,0,24,0,3.6573852766501784,2,3,12,8.0,0,0,24,1,0:00:00.070383,1,0
2020-11-22 03:53:35.297760,17,13,0,15,0,3.2195282822995477,2,3,9,5.0,0,0,15,1,0,0,0
2020-11-22 03:53:35.323309,17,13,0,15,0,3.2195282822995477,2,3,9,5.0,0,0,15,1,0:00:00.025549,1,0
