timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2022-08-07 12:46:41.481371,38,34,0,32,1,4.073475132309619,5,3,23,12.0,0,0,36,1,0,0,0
2022-08-07 12:46:41.484994,38,34,0,32,1,4.073475132309619,5,3,23,12.0,0,0,36,1,0:00:00.003623,1,0
2022-08-07 12:46:41.490325,33,29,0,26,2,3.8360819078152044,5,3,23,10.333333333333334,0,0,31,1,0,0,0
2022-08-07 12:46:41.492177,33,29,0,26,2,3.8360819078152044,5,3,23,10.333333333333334,0,0,31,1,0:00:00.001852,1,0
2022-08-07 12:46:41.507397,39,35,0,34,0,3.821464169380175,5,3,25,12.333333333333334,0,0,37,1,0,0,0
2022-08-07 12:46:41.509244,39,35,0,34,0,3.821464169380175,5,3,25,12.333333333333334,0,0,37,1,0:00:00.001847,1,0
2022-08-07 12:47:44.011415,37,33,0,30,2,3.935955649986687,5,3,23,11.666666666666666,0,0,35,1,0,0,0
2022-08-07 12:47:44.013060,37,33,0,30,2,3.935955649986687,5,3,23,11.666666666666666,0,0,35,1,0:00:00.001645,1,0
2022-08-07 12:48:26.885575,39,35,0,32,2,4.1217079115480395,5,3,25,12.333333333333334,0,0,37,1,0,0,0
2022-08-07 12:48:26.887467,39,35,0,32,2,4.1217079115480395,5,3,25,12.333333333333334,0,0,37,1,0:00:00.001892,1,0
2022-08-07 12:49:27.917111,37,33,0,30,2,4.09811781214885,5,3,23,11.666666666666666,0,0,35,1,0,0,0
2022-08-07 12:49:27.919012,37,33,0,30,2,4.09811781214885,5,3,23,11.666666666666666,0,0,35,1,0:00:00.001901,1,0
2022-08-07 12:50:42.401417,39,35,0,32,2,3.9678617577018853,5,3,25,12.333333333333334,0,0,37,1,0,0,0
2022-08-07 12:50:42.403586,39,35,0,32,2,3.9678617577018853,5,3,25,12.333333333333334,0,0,37,1,0:00:00.002169,1,0
2022-08-07 12:52:00.075216,60,56,0,43,12,4.498499037874886,5,3,32,19.333333333333332,0,0,58,1,0,0,0
2022-08-07 12:52:00.077275,60,56,0,43,12,4.498499037874886,5,3,32,19.333333333333332,0,0,58,1,0:00:00.002059,1,0
2022-08-07 12:53:02.089893,59,55,0,44,10,4.588766838723918,5,3,29,19.0,0,0,57,1,0,0,0
2022-08-07 12:53:02.092418,59,55,0,44,10,4.588766838723918,5,3,29,19.0,0,0,57,1,0:00:00.002525,1,0
2022-08-07 12:54:20.324668,57,53,0,43,9,4.411213480135663,5,3,29,18.333333333333332,0,0,55,1,0,0,0
2022-08-07 12:54:20.326639,57,53,0,43,9,4.411213480135663,5,3,29,18.333333333333332,0,0,55,1,0:00:00.001971,1,0
2022-08-07 12:55:36.622792,59,55,0,42,12,4.537150202154143,5,3,29,19.0,0,0,57,1,0,0,0
2022-08-07 12:55:36.626465,59,55,0,42,12,4.537150202154143,5,3,29,19.0,0,0,57,1,0:00:00.003673,1,0
2022-08-07 12:56:26.590061,57,53,0,40,12,4.543698023719758,5,3,29,18.333333333333332,0,0,55,1,0,0,0
