"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:14:50.893212,15,11,0,14,0,3.640223928941852,1,2,11,7.0,0,0,14,1,0,0,0"
"2021-03-30 01:14:50.932550,15,11,0,14,0,3.640223928941852,1,2,11,7.0,0,0,14,1,0:00:00.039338,1,0"
"2021-03-30 01:14:50.954929,182,65,0,158,18,4.800477711798484,6,7,38,25.142857142857142,0,0,176,1,0,0,0"
"2021-03-30 01:14:51.156828,182,65,0,158,18,4.800477711798484,6,7,38,25.142857142857142,0,0,176,1,0:00:00.201899,1,0"
"2021-03-30 01:14:51.189640,173,68,0,149,18,4.874008669180403,6,7,40,23.857142857142858,0,0,167,1,0,0,0"
"2021-03-30 01:14:51.387262,173,68,0,149,18,4.874008669180403,6,7,40,23.857142857142858,0,0,167,1,0:00:00.197622,1,0"
"2021-03-30 01:14:51.408263,163,75,0,144,13,4.749721071123432,6,7,39,22.428571428571427,0,0,157,1,0,0,0"
"2021-03-30 01:14:51.599621,163,75,0,144,13,4.749721071123432,6,7,39,22.428571428571427,0,0,157,1,0:00:00.191358,1,0"
"2021-03-30 01:14:51.627262,66,50,0,53,10,4.565566500772926,3,4,26,15.75,0,0,63,1,0,0,0"
"2021-03-30 01:14:51.813022,66,50,0,53,10,4.565566500772926,3,4,26,15.75,0,0,63,1,0:00:00.185760,1,0"
"2021-03-30 01:14:51.845737,72,56,0,62,7,4.1309353349448665,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:52.085428,72,56,0,62,7,4.1309353349448665,3,4,29,17.25,0,0,69,1,0:00:00.239691,1,0"
"2021-03-30 01:14:52.111754,72,56,0,60,9,4.083633342990026,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:52.397600,72,56,0,60,9,4.083633342990026,3,4,29,17.25,0,0,69,1,0:00:00.285846,1,0"
"2021-03-30 01:14:52.424235,72,56,0,63,6,4.126900695285793,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:52.636644,72,56,0,63,6,4.126900695285793,3,4,29,17.25,0,0,69,1,0:00:00.212409,1,0"
"2021-03-30 01:14:52.658943,72,56,0,62,7,4.092673008525929,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:52.875086,72,56,0,62,7,4.092673008525929,3,4,29,17.25,0,0,69,1,0:00:00.216143,1,0"
"2021-03-30 01:14:52.909549,72,56,0,61,8,4.280493056757483,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:53.097586,72,56,0,61,8,4.280493056757483,3,4,29,17.25,0,0,69,1,0:00:00.188037,1,0"
"2021-03-30 01:14:53.128157,72,56,0,60,9,4.2375266132880265,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:53.416379,72,56,0,60,9,4.2375266132880265,3,4,29,17.25,0,0,69,1,0:00:00.288222,1,0"
"2021-03-30 01:14:53.439640,72,56,0,56,13,4.1351136360269,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:53.723757,72,56,0,56,13,4.1351136360269,3,4,29,17.25,0,0,69,1,0:00:00.284117,1,0"
"2021-03-30 01:14:53.752327,72,56,0,63,6,4.3937087313135335,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:54.031123,72,56,0,63,6,4.3937087313135335,3,4,29,17.25,0,0,69,1,0:00:00.278796,1,0"
